Epoch 1/15 - Train Loss: 2.3027, Train Acc: 0.0990, Val Loss: 2.3028, Val Acc: 0.0925
Epoch 2/15 - Train Loss: 2.3027, Train Acc: 0.0992, Val Loss: 2.3028, Val Acc: 0.0925
Epoch 3/15 - Train Loss: 2.3027, Train Acc: 0.0997, Val Loss: 2.3027, Val Acc: 0.0925
Epoch 4/15 - Train Loss: 2.3027, Train Acc: 0.0985, Val Loss: 2.3028, Val Acc: 0.0942
Epoch 5/15 - Train Loss: 2.3027, Train Acc: 0.0997, Val Loss: 2.3028, Val Acc: 0.0925
Epoch 6/15 - Train Loss: 2.3027, Train Acc: 0.0979, Val Loss: 2.3028, Val Acc: 0.0925
Epoch 7/15 - Train Loss: 2.3027, Train Acc: 0.0995, Val Loss: 2.3029, Val Acc: 0.0942
Epoch 8/15 - Train Loss: 2.3027, Train Acc: 0.1000, Val Loss: 2.3027, Val Acc: 0.0942
Epoch 9/15 - Train Loss: 2.3027, Train Acc: 0.0986, Val Loss: 2.3028, Val Acc: 0.0942
Epoch 10/15 - Train Loss: 2.3027, Train Acc: 0.0986, Val Loss: 2.3028, Val Acc: 0.0942
Epoch 11/15 - Train Loss: 2.3027, Train Acc: 0.0973, Val Loss: 2.3029, Val Acc: 0.0942
Epoch 12/15 - Train Loss: 2.3027, Train Acc: 0.0986, Val Loss: 2.3029, Val Acc: 0.0925
Epoch 13/15 - Train Loss: 2.3027, Train Acc: 0.0973, Val Loss: 2.3028, Val Acc: 0.0925
Epoch 14/15 - Train Loss: 2.3027, Train Acc: 0.1000, Val Loss: 2.3027, Val Acc: 0.0925
Epoch 15/15 - Train Loss: 2.3027, Train Acc: 0.0986, Val Loss: 2.3027, Val Acc: 0.0925
